name,load_time_avg,page_size_avg
"Indian Statistical Institute, Kolkata",10.327599999999999,7066.44
"Indian Statistical Institute, Delhi",0.3858,59.6
"Indian Statistical Institute, Bangalore",1.0155999999999998,76.0
"Indian Statistical Institute, Chennai",1.2878,1940.2
"Indian Statistical Institute, Pune",1.1098,2093.1
"Indian Statistical Institute, Tezpur",7.5840000000000005,14778.2
Chennai Mathematical Institute,1.2328000000000001,62.14
Tata Institute of Fundamental Research,9.2808,4573.1
TIFR Centre for Applicable Mathematics,3.6046,333.84000000000003
TIFR Centre for Interdisciplinary Sciences,8.1344,21874.06
International Centre for Theoretical Sciences,11.5872,26943.2
Harish-Chandra Research Institute,4.4566,4541.5599999999995
Institute of Mathematical Sciences,3.5582000000000003,1548.02
Raman Research Institute,2.4424,722.8399999999999
Physical Research Laboratory,9.336200000000002,27668.32
Inter-University Centre for Astronomy and Astrophysics,5.491199999999999,1449.8
S.N. Bose National Centre for Basic Sciences,4.975,5124.2
"Institute of Physics, Bhubaneswar",7.759600000000001,22306.3
Indian Institute of Science,9.3522,5671.5199999999995
IISER Pune,2.9018,2656.1400000000003
IISER Kolkata,4.8636,5098.6
IISER Bhopal,20.3772,53687.0
IISER Tirupati,5.0602,2817.7599999999998
IISER Berhampur,15.249,33293.1
IIT Bombay,1.2544,571.04
IIT Delhi,5.0844000000000005,12550.1
IIT Madras,3.6296,6350.459999999999
IIT Kanpur,7.7105999999999995,9316.92
IIT Kharagpur,6.9596,6664.0
IIT Guwahati,11.506,31890.839999999997
IIT Roorkee,28.964999999999996,95601.9
IIT Hyderabad,5.4708,14873.24
IIT Indore,4.6852,4374.219999999999
IIT BHU,20.5672,12158.16
IIT Gandhinagar,5.7974,5024.42
IIT Patna,4.936599999999999,2779.0600000000004
IIT Mandi,17.538,9794.48
IIT Bhubaneswar,42.9686,89554.08
IIT Tirupati,4.6450000000000005,1548.1
IIT Palakkad,5.7126,2446.7
IIT Dhanbad (ISM),5.466,8630.1
IIT Dharwad,8.859,8012.360000000001
NIT Trichy,5.1724000000000006,5413.0
NIT Surathkal,5.876600000000001,3992.5
NIT Calicut,21.2912,70576.93999999999
NIT Durgapur,3.9467999999999996,7002.160000000001
NIT Silchar,6.43,11423.16
NIT Meghalaya,14.49,33129.52
NIT Agartala,14.2918,13669.86
NIT Raipur,4.241199999999999,4623.38
NIT Kurukshetra,4.9326,2517.9
NIT Srinagar,7.5526,18134.579999999998
NIT Arunachal Pradesh,4.705,3800.4
NIT Nagaland,6.5974,8995.5
NIT Sikkim,6.404799999999999,17421.0
NIT Goa,16.4818,44634.9
NIT Puducherry,11.6826,31309.920000000002
Delhi University,5.9378,7839.2
BITS Pilani,3.8467999999999996,4183.3
Jawaharlal Nehru University,2.7821999999999996,6876.62
Banaras Hindu University,9.768199999999998,26132.32
University of Calcutta,15.596800000000002,9403.62
"Indian Institute of Engineering Science and Technology, Shibpur",11.9522,31924.2
Anna University,8.8914,5229.74
Savitribai Phule Pune University,3.6592,6562.660000000001
Aligarh Muslim University,5.2848,3853.84
University of Madras,43.2654,104757.7
Panjab University,5.1861999999999995,9035.3
Central University of Rajasthan,5.1708,1740.1
Maulana Azad National Institute of Technology (MANIT),17.672,28977.98
Visvesvaraya National Institute of Technology (VNIT),7.221199999999999,11702.72
Goa University,4.026999999999999,3244.68
Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR),4.8342,13388.84
Saha Institute of Nuclear Physics (SINP),3.6875999999999998,1473.1399999999999
National Centre for Biological Sciences (NCBS),8.8122,18537.66
Institute of Plasma Research (IPR),12.168800000000001,14067.019999999999
Bhabha Atomic Research Centre (BARC) Training School,5.6862,12703.36
Institute of Genomics and Integrative Biology (IGIB),2.5644,1085.5
Indira Gandhi Centre for Atomic Research (IGCAR) Training School,27.3082,87850.6
Vellore Institute of Technology (VIT),6.069599999999999,5411.139999999999
Jamia Millia Islamia,5.0288,3526.9600000000005
Visva-Bharati University,1.0108000000000001,356.8
